Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,15085.2,17533.6,12491.5,11197.3,12150,20305.9,14837.2,9910.1,2821.2,10001.8,11194.4
Operating Expenses Qtr Cr,14271.7,16271.4,12085.4,10772.4,11858.8,18582.2,13775.6,9531.2,3549.9,10675.7,10882.4
Operating Profit Qtr Cr,602.8,1066.8,267.4,223.6,45.4,1463.7,855,136.9,-863,-942.8,-39.5
Operating Profit Margin Qtr %,4.05%,6.15%,2.16%,2.03%,0.38%,7.30%,5.84%,1.42%,-32.12%,-9.69%,-0.36%
Depreciation Qtr Cr,423,457.9,452.1,432.7,959.4,964.2,947.6,909.9,859.9,984.1,853.5
Interest Qtr Cr,528.8,491.8,535.5,530.9,621.1,614.9,656.2,634.7,552.8,557,478.5
Profit Before Tax Qtr Cr,-139.7,454.1,-581.6,-571.9,-1314.2,1690.3,-600.5,-1212,-2190.3,-4785.8,-1023.9
Tax Qtr Cr,41.4,40.7,53.8,3.8,6.6,44.6,37.5,0.4,0.4,85.2,15.7
Net Profit Qtr Cr,-181,413.4,175.8,-659.3,-1320.7,1645.7,-638,-1212.5,-2190.6,-4871.1,-1039.5
Basic EPS Qtr Rs,-0.5,1.1,0.5,-1.7,-3.5,4.4,-1.8,-3.4,-6.1,-13.5,-3
