Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2154.8,1823.7,1687,1701.9,1726.6,1562.2,1399.9,1201.5,664.5,1027.4,1008.6
Operating Expenses Qtr Cr,2062.3,1635.1,1425.9,1395.6,1167.4,1048.9,954.5,1002.3,645.7,872.2,964.5
Operating Profit Qtr Cr,-68,164.3,251.3,241.7,520.2,497.8,409.6,183.6,7.4,136.1,34.9
Operating Profit Margin Qtr %,-3.41%,9.13%,14.98%,14.76%,30.82%,32.19%,30.03%,15.48%,1.13%,13.50%,3.49%
Depreciation Qtr Cr,85.8,71.3,82.1,82.3,83.8,84,84.7,78.6,79.8,81.9,83.1
Interest Qtr Cr,341.5,31.9,22.3,24.5,31.3,46.1,56.8,62.8,69,72.1,72.8
Profit Before Tax Qtr Cr,-334.8,85.4,144.2,184.7,444,383.2,303.9,57.8,-130.1,-132.5,-111.8
Tax Qtr Cr,-3.7,25.8,40.3,49.9,112.4,43.3,-0.5,-1.3,1.3,0.8,0.4
Net Profit Qtr Cr,-331.1,59.6,103.9,134.8,331.6,339.9,304.4,59,-131.3,-133.2,-112.2
Basic EPS Qtr Rs,-73.4,13.2,23,29.9,73.5,75.3,67.5,13.1,-29.1,-29.6,-24.9
