Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,10083.7,9546.3,9416.7,9114.9,8171.2,7713.8,7851.3,7561.4,7436.2,8829.6,7988.7
Operating Expenses Qtr Cr,8726.8,8142.2,7486.7,6938.5,6673.5,6014.1,6030.8,6118.3,6147.4,7113.2,6556.6
Operating Profit Qtr Cr,1238.3,1176.7,1524.1,1526.4,1258,1492.7,1534.2,1286.1,1017.3,458.7,1142.5
Operating Profit Margin Qtr %,12.43%,12.63%,16.91%,18.03%,15.86%,19.88%,20.28%,17.37%,14.20%,6.06%,14.84%
Depreciation Qtr Cr,186,195.5,153.3,157.6,153.5,157.7,165.9,170.1,168.6,172,166.9
Interest Qtr Cr,25.1,17.3,13.7,14.5,18.1,14.7,14.8,15.4,18.3,26.9,15.7
Profit Before Tax Qtr Cr,1145.8,1191.3,1763,2004.3,1326.1,1527.3,1639.8,1257.6,1101.9,1517.5,1249.5
Tax Qtr Cr,263.6,153.3,433.5,444.8,339.9,359.5,384.2,296.1,247.7,125.7,326.3
Net Profit Qtr Cr,882.2,1038,1329.5,1559.5,986.2,1167.8,1255.6,961.5,854.2,1391.8,923.2
Basic EPS Qtr Rs,9.1,10.7,13.7,16.1,10.2,12.1,13,9.9,8.8,14.4,9.6
