Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,9005,7352,9570,7220,3314,7169,7324,4389,1901,4468.8,6225.9
Operating Expenses Qtr Cr,7797,6494,8116,6216,3105,6340,6429,4024,2108,3825.1,5470.6
Operating Profit Qtr Cr,1164,782,1399,954,144,795,858,294,-246,603.6,735.6
Operating Profit Margin Qtr %,12.99%,10.75%,14.70%,13.31%,4.43%,11.14%,11.77%,6.81%,-13.21%,13.63%,11.85%
Depreciation Qtr Cr,87,88,85,91,83,82,84,83,82,90.2,77.7
Interest Qtr Cr,55,54,52,45,44,45,46,44,46,37.9,40.5
Profit Before Tax Qtr Cr,1066,665,1317,868,82,702,628,238,-335,515.6,637.1
Tax Qtr Cr,273,174,330,227,21,173,209,39,-65,158.8,167.1
Net Profit Qtr Cr,793,491,987,641,61,529,419,199,-270,356.8,469.9
Basic EPS Qtr Rs,8.9,5.5,11.1,7.2,0.7,6,4.7,2.2,-3,4,5.3
