Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1232.9,1193.9,1124.6,1166.5,1112.1,1195.2,1131.8,1173.3,1227.3,1496.3,1075.3
Operating Expenses Qtr Cr,1111.3,1016.7,912,1046.7,961.5,1023.6,961.8,1089.9,1067.9,1306.6,980.3
Operating Profit Qtr Cr,113.3,170.7,198.2,105.6,146.3,160.6,160,74.8,154.5,181.9,84.7
Operating Profit Margin Qtr %,9.25%,14.37%,17.85%,9.16%,13.21%,13.56%,14.26%,6.42%,12.64%,12.22%,7.95%
Depreciation Qtr Cr,21.8,20.3,20.4,20.3,19.8,20,19.8,19.7,19.6,18.6,19.3
Interest Qtr Cr,20.1,13.2,10.7,11,14.6,12.3,9.6,13.7,15.8,15.1,14
Profit Before Tax Qtr Cr,79.6,133.7,181.4,88.6,116.2,117.5,140.6,50,123.8,158.8,61.7
Tax Qtr Cr,20.1,31.9,54.3,21.7,29.9,48.3,49.4,17.4,43.4,11.7,20.5
Net Profit Qtr Cr,59.6,101.7,127.1,66.9,86.4,69.1,91.2,32.5,80.4,147.1,41.2
Basic EPS Qtr Rs,2.5,4.2,5.3,2.8,3.6,2.9,3.8,1.3,3.2,5.9,1.7
