Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1969,1772.2,1716.7,1676.3,1267.6,1507.1,1316.1,1094.9,384.2,958.8,992.8
Operating Expenses Qtr Cr,1753,1560.2,1515,1473.8,1099.1,1292.5,1128,923.2,409.2,802,851.6
Operating Profit Qtr Cr,204,174.4,186.4,192.8,157.6,187.7,181.4,164.2,-30.4,132.6,124.9
Operating Profit Margin Qtr %,10.43%,10.05%,10.96%,11.57%,12.54%,12.68%,13.86%,15.10%,-8.02%,14.19%,12.79%
Depreciation Qtr Cr,32.5,36.7,36.9,36,35.4,36.7,36.5,37.7,38.7,43.9,39.4
Interest Qtr Cr,3.6,2.2,3.8,2.9,3,2.9,6.2,4.5,5.5,5.1,6.9
Profit Before Tax Qtr Cr,180,173.1,161.1,163.7,130.2,161.6,145.4,129.5,-77.5,85.9,94.8
Tax Qtr Cr,45.7,36.8,40.6,42.2,33.2,32.5,38.4,33.6,-18.5,12.3,16.6
Net Profit Qtr Cr,134.3,136.4,120.4,121.4,97,129.1,107.1,95.9,-59,73.5,78.3
Basic EPS Qtr Rs,7,7.1,6.2,6.3,5,6.8,5.7,5.1,-3.1,3.9,4.2
