Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1696.4,1698.8,1434.6,1318.3,1268.9,1248.8,1205.2,1209.4,992.1,964.6,1103.1
Operating Expenses Qtr Cr,1491.2,1483.9,1268.1,1187,1101.9,1060.8,995.3,1007.5,825.8,815,896.5
Operating Profit Qtr Cr,197.8,180.5,162.4,126.9,163.1,182.4,204.7,195.8,162.8,145.1,136.5
Operating Profit Margin Qtr %,11.71%,10.84%,11.35%,9.66%,12.90%,14.67%,17.06%,16.27%,16.46%,15.11%,13.21%
Depreciation Qtr Cr,64.9,65,63.1,62.6,62.5,63.6,65.9,65.8,64.3,66.4,65.2
Interest Qtr Cr,39.9,43.5,39.9,36.9,34.8,35.5,37.2,40.9,38.6,41.8,43.5
Profit Before Tax Qtr Cr,100.4,106.3,63.6,31.9,69.7,88.8,106.7,95.2,63.4,41.4,98
Tax Qtr Cr,25.2,23,10.5,3,12.6,31.5,35.6,34.3,22.2,14.2,10.8
Net Profit Qtr Cr,75.2,83.2,53.1,28.9,57.1,57.3,71.2,60.8,41.1,27.2,87.2
Basic EPS Qtr Rs,10.4,11.5,7.3,4,7.9,7.9,9.9,8.4,5.7,3.8,12.1
