Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1014.7,1053.6,963.6,905.7,564.7,853.5,832.8,623.3,410.5,541.8,632.1
Operating Expenses Qtr Cr,927.7,939.4,876.3,809.4,517.4,739.2,713.8,542.7,396.8,491.5,567.2
Operating Profit Qtr Cr,81.9,110.8,84.4,93.6,43.4,109.9,113.6,73.9,9.1,45.2,59.4
Operating Profit Margin Qtr %,8.11%,10.55%,8.79%,10.36%,7.73%,12.95%,13.73%,11.99%,2.23%,8.42%,9.48%
Depreciation Qtr Cr,12.9,12.3,13.4,10.8,10.9,11.7,9.4,8.4,7.9,7.1,7.3
Interest Qtr Cr,1.7,1.6,1.4,3,1.5,2.3,1.1,1,1.1,0.9,1
Profit Before Tax Qtr Cr,72.3,100.2,72.5,82.4,34.9,100.3,108.4,71.2,4.8,42.4,56.5
Tax Qtr Cr,18.3,9.6,20,23.4,10.3,32,31.4,21.1,1.2,9.9,13.7
Net Profit Qtr Cr,54,90.6,52.5,59.1,24.6,68.3,77,50,3.6,32.5,42.9
Basic EPS Qtr Rs,1.2,2.1,1.2,1.4,0.6,1.6,1.8,1.2,0.1,0.8,1
