Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,604.9,351.7,397.9,341.1,218.4,257.6,240.2,117.7,59.4,316.5,433.9
Operating Expenses Qtr Cr,492.3,320.2,341.6,291.3,191.5,251.8,226.4,124.5,92.1,298.1,374.9
Operating Profit Qtr Cr,70.9,23.4,45.3,33.6,10.3,-10.4,3.6,-22.9,-51.8,9.8,57.2
Operating Profit Margin Qtr %,12.59%,6.82%,11.70%,10.33%,5.09%,-4.33%,1.59%,-22.51%,-128.32%,3.20%,13.23%
Depreciation Qtr Cr,14.9,13.9,14.4,14.6,15.2,15.2,15.5,15.8,18.2,19.2,19.4
Interest Qtr Cr,5.6,4.7,4.9,6,6.9,6.9,7.8,7.5,6.2,4.8,5.3
Profit Before Tax Qtr Cr,107.1,13,37,29.1,4.7,-16.3,-9.4,-30.1,-57.1,-5.5,34.3
Tax Qtr Cr,24.2,3.9,9.5,5.5,1.2,-4.4,-0.8,-7.8,-15.4,0,7.8
Net Profit Qtr Cr,82.8,9.1,27.5,23.6,3.5,-11.9,-8.7,-22.3,-41.7,-5.6,26.6
Basic EPS Qtr Rs,5.8,0.6,1.9,1.7,0.2,-0.8,-0.7,-1.5,-3,-0.4,1.9
