Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2753.3,2690.1,2684.2,2371.1,1916.7,1862.2,1718.6,1583.4,812.8,1531,1785.2
Operating Expenses Qtr Cr,2220.1,2135.3,1863.1,1657.6,1419.9,1458.4,1415.9,1398.9,775.1,1281.7,1515.1
Operating Profit Qtr Cr,510.9,506.6,590.8,649,454.1,358.3,250.9,134,-4,209.5,207.8
Operating Profit Margin Qtr %,18.71%,19.18%,24.08%,28.14%,24.23%,19.72%,15.06%,8.74%,-0.52%,14.05%,12.06%
Depreciation Qtr Cr,91.8,90.8,88.8,88,87.8,88.6,88.1,87.8,85.6,84.8,83
Interest Qtr Cr,26.2,28.8,21.5,23.4,25.6,27.7,23.3,27.3,33.1,34.6,28.6
Profit Before Tax Qtr Cr,415.2,435.1,710.9,602.1,383.4,287.5,191.3,69.3,-81,129.9,158.5
Tax Qtr Cr,101.9,112.4,140.9,148.3,93.6,72.7,46.9,19.8,-22.6,-3.1,-30.4
Net Profit Qtr Cr,313.4,322.7,570,453.8,289.8,214.8,144.4,49.6,-58.4,133.1,188.9
Basic EPS Qtr Rs,10.8,11.2,98.8,78.7,50.3,37.3,25.1,8.6,-10.2,23.1,32.8
