Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,809.6,791.1,661.8,624.1,503.8,718.9,574.3,429.8,179.4,423,456.7
Operating Expenses Qtr Cr,699.7,692.9,594.2,553.8,449.8,628.9,478.8,355.5,194.6,353.2,380.8
Operating Profit Qtr Cr,98.7,89,58.7,62.7,42.1,83.5,87.7,63.2,-28.6,51.7,60.2
Operating Profit Margin Qtr %,12.36%,11.39%,8.99%,10.17%,8.56%,11.72%,15.49%,15.09%,-17.23%,12.77%,13.65%
Depreciation Qtr Cr,22.7,20.9,24,24.9,22.6,22.6,22.3,22.4,23.1,24.7,22.3
Interest Qtr Cr,1.1,0.5,0.4,0.4,0.5,0.2,0.2,0.9,0.7,0.6,0.5
Profit Before Tax Qtr Cr,86.1,76.7,43.2,45,30.9,67.3,73,50.9,-38.9,44.5,53.2
Tax Qtr Cr,23.7,20.1,11.4,12.7,9.5,19.6,20.6,15.8,-7.6,13,14.5
Net Profit Qtr Cr,62.4,56.6,31.8,32.3,21.4,47.6,52.4,35.1,-31.4,31.5,38.7
Basic EPS Qtr Rs,32.9,29.8,16.8,17,11.3,25.1,27.6,18.5,-16.5,16.6,20.4
