,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1742.0,492.9,689.9,137.4,450.2,661.5,202.6,458.9
Mar-2020,2384.3,1461.3,-276.2,156.1,371.3,395.5,-104.8,500.3
Jun-2020,1376.3,302.5,495.2,154.3,487.7,431.7,145.2,286.6
Sep-2020,1679.6,-98.3,1180.3,155.7,563.9,1058.3,362.6,695.7
Dec-2020,1917.0,202.6,1102.6,155.9,614.2,944.2,321.7,622.5
Mar-2021,1670.6,381.0,811.3,153.3,661.0,475.3,152.2,323.1
Jun-2021,1730.0,746.2,464.6,156.2,533.4,294.3,105.9,188.4
Sep-2021,1746.3,356.7,733.3,155.7,630.9,482.4,153.7,328.7
Dec-2021,1856.0,377.8,700.7,153.7,659.8,664.7,181.3,483.4
Mar-2022,1624.2,937.8,120.0,149.3,670.6,-624.7,-22.2,-602.5
Jun-2022,1852.0,1642.0,-387.5,153.6,653.3,-597.0,-212.5,-384.5
