,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,7.0,15.0,-8.2,0.3,14.1,-22.4,0.0,-22.4
Mar-2020,99.5,13.5,85.6,0.3,5.5,51.5,0.0,51.5
Jun-2020,8.5,8.7,-0.7,0.4,0.0,-0.7,0.0,-0.7
Sep-2020,17.7,6.8,10.5,0.3,0.0,10.4,-3.8,14.2
Dec-2020,5.7,8.5,-2.9,0.3,0.0,-3.1,-0.2,-2.9
Mar-2021,77.0,10.6,65.9,0.3,0.0,65.7,3.3,62.4
Jun-2021,42.0,6.8,35.2,0.2,0.0,35.2,8.7,26.5
Sep-2021,23.1,8.2,14.6,0.2,0.0,14.6,3.7,10.8
Dec-2021,284.6,7.2,276.8,0.2,0.0,277.1,37.3,239.9
Mar-2022,104.4,11.6,92.2,0.2,0.0,92.2,24.7,67.6
Jun-2022,8.0,7.7,0.2,0.2,0.0,0.2,-1.5,1.7
