,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,56.4,39.9,13.1,1.5,0.1,14.8,3.7,11.1
Mar-2020,47.3,36.3,8.4,1.7,0.1,9.2,2.4,6.8
Jun-2020,45.1,38.4,3.9,1.8,0.1,4.8,1.2,3.6
Sep-2020,73.7,62.2,10.5,1.6,0.1,9.8,2.5,7.3
Dec-2020,78.6,67.9,10.4,1.6,0.1,9.0,2.3,6.7
Mar-2021,75.9,58.2,14.0,1.6,0.1,16.0,5.3,10.7
Jun-2021,88.5,67.8,14.1,1.5,0.1,19.1,4.2,14.9
Sep-2021,106.4,83.3,12.7,2.0,0.1,20.9,5.1,15.8
Dec-2021,117.7,98.3,13.0,2.0,0.1,17.4,4.9,12.5
Mar-2022,116.2,95.6,12.8,1.8,0.3,18.4,5.1,13.3
Jun-2022,108.8,92.9,12.3,1.7,0.1,14.1,3.8,10.3
