,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,259.1,184.3,72.6,6.8,2.1,98.6,21.6,77.1
Mar-2020,237.4,167.2,67.6,7.2,1.9,61.1,11.9,49.2
Jun-2020,246.3,167.8,77.4,7.0,1.9,69.6,16.8,52.8
Sep-2020,294.0,196.0,95.3,7.2,1.6,89.1,23.7,65.5
Dec-2020,325.5,200.8,123.1,7.6,1.4,115.8,31.3,84.5
Mar-2021,383.6,248.8,133.4,7.3,1.4,126.1,33.5,92.6
Jun-2021,394.0,281.1,110.7,7.5,1.1,104.3,25.8,78.5
Sep-2021,352.9,273.2,75.5,7.7,1.0,70.9,16.9,54.1
Dec-2021,381.2,310.1,66.6,7.9,1.0,62.3,16.4,45.9
Mar-2022,429.1,352.1,73.6,11.6,0.8,64.6,18.2,46.4
Jun-2022,477.7,357.6,115.8,11.8,0.8,107.5,25.6,81.9
