,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,454.0,331.9,41.7,30.2,12.9,210.4,50.8,159.6
Mar-2020,442.5,404.1,24.2,29.9,24.5,6.3,-9.5,15.8
Jun-2020,454.9,310.7,64.3,27.0,22.7,91.0,-3.6,94.7
Sep-2020,401.9,351.2,41.1,26.4,18.0,6.3,-6.1,12.5
Dec-2020,592.2,467.3,38.7,25.4,11.9,87.5,17.2,70.3
Mar-2021,705.2,657.8,39.3,23.8,9.4,14.2,0.2,13.9
Jun-2021,912.3,629.5,72.0,23.6,11.7,297.3,47.7,249.6
Sep-2021,755.5,689.3,54.8,23.4,11.9,32.6,6.9,25.8
Dec-2021,1073.6,976.8,87.7,22.8,10.9,63.0,14.3,48.7
Mar-2022,1094.4,1025.2,56.4,21.4,10.4,40.0,-7.0,42.4
Jun-2022,1051.6,943.3,98.1,18.9,10.4,106.9,37.5,70.1
