,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,988.2,746.3,231.7,29.1,1.3,211.5,51.7,159.9
Mar-2020,954.8,739.3,182.0,30.4,0.3,184.6,42.4,142.2
Jun-2020,643.8,460.8,141.9,29.5,0.3,153.2,36.3,117.0
Sep-2020,965.2,710.0,247.1,29.7,0.7,224.9,55.3,169.7
Dec-2020,913.2,659.5,215.1,29.5,0.5,223.7,48.6,175.1
Mar-2021,1093.8,835.8,242.2,31.6,0.5,225.9,56.7,169.2
Jun-2021,1067.8,821.8,215.9,35.8,0.4,209.9,53.8,156.1
Sep-2021,1241.2,1007.0,204.7,36.5,0.2,197.5,48.7,148.8
Dec-2021,1352.1,1111.1,233.5,37.6,0.6,202.8,48.7,154.1
Mar-2022,1421.7,1189.6,209.2,36.6,1.8,193.7,45.2,148.5
Jun-2022,1472.3,1219.2,206.5,39.8,0.6,212.7,54.2,158.5
