,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1190.6,819.0,341.5,94.9,1.9,274.8,54.1,220.7
Mar-2020,1423.7,984.8,372.6,98.3,1.9,338.8,81.5,257.3
Jun-2020,962.0,698.1,230.6,99.6,2.4,161.9,40.0,121.8
Sep-2020,1597.1,1042.0,536.7,101.2,3.4,450.5,111.0,339.5
Dec-2020,1555.9,1028.2,476.4,101.9,1.7,424.1,102.2,321.9
Mar-2021,1804.3,1204.1,541.8,103.4,2.3,494.5,122.3,372.2
Jun-2021,1891.3,1300.4,512.7,104.1,2.1,484.7,153.5,331.2
Sep-2021,2182.9,1529.9,519.9,108.5,1.8,542.7,165.5,377.2
Dec-2021,2141.6,1586.5,443.4,114.5,1.8,438.7,110.1,328.6
Mar-2022,2481.6,1874.4,499.5,116.7,2.1,488.4,114.7,373.7
Jun-2022,2748.6,2190.8,455.5,126.2,2.7,428.8,109.1,319.7
