,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,75247.6,72029.4,2703.4,973.1,512.1,1733.0,472.4,1260.6
Mar-2020,70148.2,69610.3,-618.8,947.4,578.5,-2068.9,-707.9,-1361.0
Jun-2020,39378.4,34869.2,3915.8,995.9,587.1,2926.2,850.0,2076.2
Sep-2020,50718.9,46295.2,3851.2,988.8,12.6,3297.8,1050.0,2247.8
Dec-2020,68245.9,62425.6,4305.8,993.6,251.0,4156.2,1378.6,2777.6
Mar-2021,78546.3,71824.5,5057.9,999.8,477.6,12237.4,297.3,11940.1
Jun-2021,71373.0,67668.5,3252.7,1144.6,486.7,1996.1,494.5,1501.7
Sep-2021,102312.2,97154.0,4477.7,1168.1,394.0,3596.1,902.0,2694.1
Dec-2021,101727.8,96832.2,4213.0,1168.0,445.9,3281.7,819.2,2462.4
Mar-2022,109371.2,104524.2,4249.3,1273.5,533.8,3039.6,909.0,2130.5
Jun-2022,121506.2,126967.7,-5901.8,1610.7,615.5,-7687.7,-1396.9,-6290.8
