,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,138.1,112.4,14.5,1.4,0.9,23.4,6.7,16.7
Mar-2020,95.3,74.1,20.2,12.2,3.0,6.0,1.9,4.1
Jun-2020,54.6,44.5,9.6,10.4,2.1,-2.4,-0.6,-1.9
Sep-2020,114.8,82.4,31.7,10.6,2.0,19.8,5.8,14.1
Dec-2020,141.3,87.7,52.5,10.6,1.8,41.3,30.7,10.6
Mar-2021,196.9,90.3,103.7,10.5,2.1,94.0,27.1,66.9
Jun-2021,142.5,74.3,61.8,10.7,1.6,55.9,16.2,39.6
Sep-2021,165.6,106.7,53.8,10.6,0.1,48.2,14.0,34.1
Dec-2021,174.3,98.8,69.7,10.6,0.4,64.5,18.7,45.7
Mar-2022,182.3,119.9,59.1,10.5,0.7,51.3,4.9,46.4
Jun-2022,173.1,121.8,48.2,10.6,0.5,40.3,10.2,30.1
