,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,325.3,239.5,68.5,6.3,0.0,79.5,25.4,54.1
Mar-2020,335.8,209.2,89.8,18.3,2.2,106.0,24.9,81.1
Jun-2020,230.2,169.3,44.8,16.1,1.8,43.0,11.4,69.3
Sep-2020,268.3,183.7,44.6,15.5,1.7,67.4,17.2,80.0
Dec-2020,254.5,184.6,50.9,17.7,1.7,50.6,10.4,-63.6
Mar-2021,393.2,181.4,64.5,13.8,1.9,196.1,14.9,181.3
Jun-2021,320.6,193.2,59.1,13.5,1.9,112.1,18.4,93.6
Sep-2021,324.7,216.2,55.7,12.7,1.8,94.1,15.2,78.8
Dec-2021,350.6,233.6,49.1,13.0,0.1,149.7,26.4,123.3
Mar-2022,347.8,224.5,63.0,13.0,1.2,109.1,21.8,87.3
Jun-2022,399.9,277.6,52.0,12.8,1.1,108.5,15.8,92.7
