,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,639.0,1090.0,-493.0,11.0,4.0,-466.0,-110.0,-356.0
Mar-2020,566.0,527.0,21.0,11.0,4.0,24.0,-1.0,25.0
Jun-2020,417.0,422.0,-72.0,11.0,2.0,-18.0,-5.0,-13.0
Sep-2020,520.0,508.0,-35.0,11.0,2.0,-1.0,-6.0,5.0
Dec-2020,592.0,458.0,-5.0,11.0,1.0,122.0,29.0,93.0
Mar-2021,616.0,435.0,128.0,12.0,1.0,168.0,54.0,114.0
Jun-2021,619.0,407.0,136.0,12.0,1.0,199.0,42.0,157.0
Sep-2021,722.0,530.0,124.0,11.0,0.0,181.0,41.0,140.0
Dec-2021,896.0,678.0,157.0,11.0,2.0,205.0,50.0,155.0
Mar-2022,841.0,660.0,107.0,12.0,1.0,168.0,46.0,122.0
Jun-2022,820.0,723.0,75.0,11.0,2.0,84.0,21.0,63.0
