,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,545.3,426.8,115.3,43.6,26.9,48.0,15.1,33.0
Mar-2020,735.6,540.1,22.0,45.0,32.6,117.8,89.2,28.6
Jun-2020,583.7,409.2,147.4,45.5,32.7,96.3,29.4,66.9
Sep-2020,623.5,432.7,159.0,46.4,27.5,116.9,38.3,78.6
Dec-2020,629.3,441.2,158.8,46.7,26.8,114.6,6.3,-474.7
Mar-2021,805.9,595.4,181.2,46.0,22.2,142.4,41.4,101.0
Jun-2021,865.6,598.3,240.9,45.8,24.1,197.5,51.1,146.4
Sep-2021,998.2,664.5,287.5,46.5,19.6,267.6,61.6,206.0
Dec-2021,1001.0,664.3,308.2,47.6,19.4,269.7,68.9,200.8
Mar-2022,1079.9,723.4,329.6,48.3,12.9,295.4,74.4,220.9
Jun-2022,1285.5,840.7,417.5,50.6,21.6,372.5,94.7,277.8
