,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,821.0,722.2,90.6,7.0,17.7,74.1,24.4,49.6
Mar-2020,616.8,562.0,48.7,11.6,26.0,17.2,15.2,2.0
Jun-2020,659.4,586.8,69.5,13.1,31.5,27.5,6.9,20.6
Sep-2020,987.3,872.5,111.3,13.5,36.6,61.9,17.1,44.7
Dec-2020,1192.2,1042.9,146.0,13.2,38.0,97.3,22.2,75.0
Mar-2021,1282.9,1117.7,159.2,13.8,42.1,109.2,26.8,82.5
Jun-2021,1112.9,947.9,160.3,13.0,42.0,110.0,29.5,80.5
Sep-2021,1008.2,869.3,135.6,13.2,32.0,93.8,23.6,70.2
Dec-2021,1110.6,971.3,136.1,14.3,30.2,94.8,24.7,70.1
Mar-2022,1098.5,970.3,95.7,16.8,28.4,83.0,21.1,61.9
Jun-2022,971.1,864.8,86.5,14.4,28.5,63.4,15.4,48.0
