,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,205.4,113.3,29.9,35.8,27.6,28.7,48.0,-19.2
Mar-2020,208.4,118.1,33.2,32.7,21.5,36.2,23.1,13.1
Jun-2020,213.6,99.7,46.9,39.3,16.3,58.4,14.0,44.4
Sep-2020,188.5,105.3,48.1,42.3,3.5,37.4,10.1,27.3
Dec-2020,181.4,100.1,58.7,43.9,0.0,37.3,14.4,22.9
Mar-2021,166.4,110.1,46.9,44.8,0.0,10.6,-6.0,16.6
Jun-2021,164.0,93.2,59.6,44.2,0.0,26.6,6.9,19.7
Sep-2021,182.8,122.2,35.0,45.1,0.0,15.5,4.2,11.3
Dec-2021,163.1,104.1,50.8,45.4,0.0,13.6,3.6,10.0
Mar-2022,162.8,107.1,50.0,45.0,0.0,14.3,8.2,6.1
Jun-2022,182.7,107.6,49.5,44.9,0.0,30.2,7.8,22.4
