,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,4489.2,3614.7,841.8,202.5,69.8,614.0,188.7,425.3
Mar-2020,10482.5,6920.2,2494.7,510.6,101.0,2042.7,801.6,1241.1
Jun-2020,1784.0,1168.9,386.3,111.2,104.6,217.6,66.2,151.4
Sep-2020,4941.5,3555.4,1028.1,219.7,71.4,824.7,211.2,613.5
Dec-2020,5517.8,4217.0,1208.6,178.9,53.2,1068.7,215.4,853.3
Mar-2021,10870.0,8014.4,2723.8,667.9,29.8,2159.9,545.1,1614.8
Jun-2021,1766.3,1372.1,244.1,111.3,14.7,268.2,69.4,198.8
Sep-2021,5690.2,4308.9,1242.2,242.9,0.6,1137.8,289.5,848.2
Dec-2021,6088.5,4463.0,1428.7,373.3,0.8,1251.4,313.8,937.5
Mar-2022,12061.5,9063.3,2497.8,382.3,42.1,2573.8,-528.1,3102.0
Jun-2022,3814.6,2797.6,825.0,208.1,0.2,808.8,202.1,606.7
