,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,71151.7,68882.7,1866.9,865.9,252.4,1150.8,403.6,747.2
Mar-2020,66579.0,66861.5,-706.6,811.4,337.4,-2434.3,-2461.1,26.8
Jun-2020,38283.4,33367.2,4353.6,866.1,321.7,3728.4,914.6,2813.8
Sep-2020,52590.1,48169.4,3603.9,868.3,260.4,3292.0,814.5,2477.4
Dec-2020,69524.0,65357.7,3301.5,881.0,127.4,3157.9,803.2,2354.6
Mar-2021,75388.0,70177.0,4666.4,937.2,205.3,4068.5,1050.5,3018.0
Jun-2021,72815.4,69250.4,3192.9,913.9,254.2,2396.8,601.9,1795.0
Sep-2021,88049.8,84586.8,3013.6,947.3,154.5,2361.2,437.7,1923.5
Dec-2021,97152.8,94731.6,1870.7,1024.7,235.8,1160.7,291.8,868.9
Mar-2022,99170.6,95474.1,2098.6,1083.2,328.3,2284.9,489.7,1795.3
Jun-2022,114794.4,126949.3,-12494.6,1094.5,332.7,-13582.0,-3385.0,-10196.9
