,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,920.4,712.6,188.6,11.5,1.8,194.4,49.7,144.7
Mar-2020,738.0,575.7,128.6,11.8,1.5,148.9,37.8,111.1
Jun-2020,753.7,608.3,127.9,11.6,1.5,132.3,34.2,98.1
Sep-2020,774.0,615.4,144.3,11.4,1.8,145.5,37.4,108.0
Dec-2020,902.6,686.6,187.6,12.7,1.3,202.0,52.1,149.9
Mar-2021,696.4,543.5,129.2,13.0,1.6,138.3,34.2,104.0
Jun-2021,705.0,566.5,116.7,13.0,1.8,123.6,32.1,91.5
Sep-2021,758.2,629.8,107.3,13.1,1.4,113.8,28.6,85.2
Dec-2021,874.3,738.0,121.9,13.6,1.1,121.6,31.9,89.7
Mar-2022,693.2,580.7,87.3,12.7,1.2,98.6,25.9,72.7
Jun-2022,815.4,664.3,121.9,12.5,1.3,137.4,35.4,102.0
