,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,436.7,21.0,374.6,0.0,0.0,389.9,95.8,294.1
Mar-2020,593.6,97.1,370.5,0.0,0.0,370.6,88.7,281.9
Jun-2020,558.5,21.8,531.0,0.0,0.0,531.0,132.9,398.1
Sep-2020,541.2,53.5,554.5,0.0,0.0,554.6,138.8,415.7
Dec-2020,3198.9,2773.8,412.6,0.0,0.0,418.2,104.7,313.5
Mar-2021,3628.2,3170.4,-15.5,0.0,0.0,450.1,104.4,345.7
Jun-2021,3414.1,3244.4,191.6,0.0,0.0,201.5,49.9,151.6
Sep-2021,3982.3,3383.2,587.8,0.0,0.0,593.9,147.2,446.7
Dec-2021,4019.1,3598.3,408.7,0.0,0.0,420.9,103.4,317.5
Mar-2022,4799.8,4400.0,-368.9,0.0,0.0,410.4,97.9,312.5
Jun-2022,4149.4,3681.3,445.0,0.0,0.0,465.1,116.1,349.0
