,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,125184.9,117964.9,6650.3,2186.2,1311.7,3722.2,1383.2,2339.0
Mar-2020,120161.3,118226.9,212.2,2389.5,1850.4,-13610.2,-8424.8,-5185.3
Jun-2020,63038.8,56884.3,5512.3,2354.5,1171.3,2628.6,717.7,1910.8
Sep-2020,87147.9,76183.3,9427.2,2403.6,221.1,8339.8,2112.5,6227.3
Dec-2020,147868.3,136976.9,9621.9,2466.7,628.6,7796.2,2879.6,4916.6
Mar-2021,124815.7,109016.8,13501.8,2579.4,1072.9,10951.1,2169.8,8781.3
Jun-2021,155619.8,143930.2,11126.1,2634.2,1257.0,7798.5,1857.1,5941.4
Sep-2021,171204.5,159142.7,10628.1,2705.7,985.7,8370.4,2010.3,6360.1
Dec-2021,168163.4,157397.0,9862.1,2778.7,979.1,7479.6,1618.8,5860.8
Mar-2022,178239.0,165653.2,11627.5,2887.3,1607.2,8084.7,2062.8,6021.9
Jun-2022,252616.5,250574.0,1358.9,2847.1,1724.7,-2529.2,-536.7,-1992.5
