,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1427.8,1126.4,277.7,55.6,56.1,189.7,52.1,137.6
Mar-2020,1504.5,1131.2,346.3,57.7,57.2,80.3,80.1,0.2
Jun-2020,985.3,749.7,215.3,58.0,57.2,120.4,42.7,77.7
Sep-2020,1579.4,1140.0,410.7,59.7,53.7,326.0,102.5,223.5
Dec-2020,1790.4,1311.3,448.8,62.2,59.3,357.6,119.4,238.3
Mar-2021,2086.5,1613.4,439.1,64.9,52.9,188.5,125.1,63.3
Jun-2021,1661.0,1234.1,399.6,65.7,56.0,305.2,96.9,208.3
Sep-2021,1883.5,1506.5,329.0,68.7,59.1,249.2,80.3,168.8
Dec-2021,1966.8,1569.6,370.8,71.9,65.3,260.0,92.6,167.3
Mar-2022,2310.1,1886.3,382.7,75.7,68.9,149.2,63.0,86.3
Jun-2022,2188.7,1766.3,400.1,89.9,61.7,270.7,89.6,181.1
