,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,102.2,51.5,47.4,3.0,1.9,45.9,13.6,32.3
Mar-2020,90.7,18.9,70.0,3.0,1.9,66.8,11.1,55.7
Jun-2020,31.3,16.2,13.7,3.0,1.9,10.3,0.0,10.3
Sep-2020,131.5,50.7,61.3,3.0,1.8,75.4,7.7,67.8
Dec-2020,78.6,32.3,41.9,3.0,1.8,38.6,10.0,28.6
Mar-2021,133.0,34.4,90.9,3.0,1.8,92.6,23.9,68.7
Jun-2021,159.8,60.5,101.0,2.9,1.8,97.6,22.6,75.1
Sep-2021,200.1,41.9,106.3,2.9,1.7,151.8,24.5,127.3
Dec-2021,156.4,57.1,96.9,2.5,1.7,94.8,23.1,71.7
Mar-2022,102.5,26.7,70.9,2.4,1.6,71.7,18.0,53.6
Jun-2022,114.8,49.9,62.1,2.5,1.6,59.5,12.9,46.6
