,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,15902.0,13100.0,2667.0,893.0,988.0,921.0,230.0,691.0
Mar-2020,15423.0,12057.0,3220.0,929.0,954.0,174.0,-68.0,242.0
Jun-2020,10447.0,8864.0,1429.0,867.0,933.0,-217.0,-71.0,-146.0
Sep-2020,16948.0,12621.0,4176.0,924.0,885.0,2518.0,826.0,1692.0
Dec-2020,19408.0,13606.0,5633.0,979.0,879.0,3944.0,1115.0,2829.0
Mar-2021,24593.0,16377.0,8021.0,1011.0,868.0,5951.0,1933.0,4018.0
Jun-2021,26159.0,16468.0,9491.0,998.0,843.0,7850.0,2592.0,5258.0
Sep-2021,28919.0,19327.0,8673.0,1051.0,802.0,7739.0,2356.0,5383.0
Dec-2021,29244.0,22053.0,6797.0,1237.0,887.0,5067.0,1643.0,3424.0
Mar-2022,36427.0,29104.0,6907.0,1225.0,1317.0,4059.0,1422.0,2637.0
Jun-2022,31388.0,27753.0,3352.0,1177.0,1030.0,1428.0,472.0,956.0
