,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,42.9,9.8,19.4,0.1,52.3,-19.3,6.2,-25.4
Mar-2020,412.8,9.6,390.9,0.1,61.3,341.7,1.9,339.8
Jun-2020,24.7,11.5,3.3,0.1,58.5,174.3,48.4,125.9
Sep-2020,20.6,3.1,10.8,0.1,49.6,-34.6,6.5,-41.1
Dec-2020,21.0,3.7,13.2,0.2,47.0,-30.0,-2.4,-27.6
Mar-2021,125.1,7.8,110.2,0.1,38.0,79.1,20.2,58.9
Jun-2021,31.5,5.4,22.5,0.1,28.4,-2.4,0.0,-2.4
Sep-2021,26.7,4.6,19.5,0.1,27.7,-5.7,13.4,-19.0
Dec-2021,21.6,7.5,8.7,0.1,15.8,-1.9,7.7,-9.5
Mar-2022,270.7,4.6,263.0,0.1,1.6,264.3,15.2,249.1
Jun-2022,23.1,4.7,15.3,0.1,2.1,16.2,10.2,6.0
