,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,4082.2,3398.7,610.2,249.0,70.4,364.1,127.5,236.6
Mar-2020,3682.7,3055.2,569.9,266.4,69.2,291.8,-377.7,669.5
Jun-2020,2473.6,2099.1,331.5,272.9,73.7,27.9,10.8,17.1
Sep-2020,4230.6,3331.9,854.4,283.9,52.8,562.0,159.0,403.0
Dec-2020,4630.1,3603.6,963.2,283.1,63.8,679.7,168.0,511.7
Mar-2021,4794.2,3992.1,745.6,297.0,74.5,430.6,113.4,317.3
Jun-2021,4220.1,3640.5,487.2,300.7,62.1,216.8,55.5,161.3
Sep-2021,4920.3,4319.4,512.2,295.8,56.5,248.5,65.2,183.4
Dec-2021,4898.8,4344.2,485.7,294.6,62.8,197.3,51.4,145.8
Mar-2022,5265.2,4672.8,527.5,310.2,65.6,216.6,59.8,156.8
Jun-2022,5633.0,5120.6,478.3,296.9,63.5,151.9,39.5,112.4
