,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,21490.8,18604.7,2102.1,858.0,21.7,2006.4,441.6,1564.8
Mar-2020,19079.1,16652.3,1546.4,823.0,28.3,1575.5,283.8,1291.7
Jun-2020,5424.8,4969.9,-863.4,783.3,17.3,-345.7,-96.3,-249.4
Sep-2020,19347.0,16810.9,1933.6,765.9,22.4,1747.8,376.2,1371.6
Dec-2020,24451.5,21231.7,2226.1,741.3,28.7,2449.8,508.4,1941.4
Mar-2021,24113.5,22032.6,1991.1,741.0,32.4,1307.5,141.4,1166.1
Jun-2021,18278.5,16949.6,821.1,743.2,22.2,563.5,122.7,440.8
Sep-2021,21061.6,19684.0,854.9,756.1,22.5,599.0,123.7,475.3
Dec-2021,23574.0,21687.0,1559.0,640.0,25.2,1221.8,210.5,1011.3
Mar-2022,27214.4,24313.2,2426.8,647.2,56.0,2198.0,359.1,1838.9
Jun-2022,26588.3,24587.7,1912.1,651.4,27.4,1321.8,309.0,1012.8
