,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,8211.6,371.6,7892.4,2.5,5495.5,2395.4,715.3,1680.1
Mar-2020,9552.6,1438.8,7680.8,2.9,5550.3,2127.8,692.8,1435.0
Jun-2020,8774.4,616.9,7787.7,1.9,5676.2,2126.3,426.8,1699.6
Sep-2020,9232.0,-48.6,8326.4,2.4,5829.4,2495.6,410.5,2085.1
Dec-2020,10085.8,8.7,8678.0,3.2,5885.1,2791.6,458.8,2332.8
Mar-2021,9674.4,280.2,8599.1,3.7,5803.8,2793.8,467.2,2326.6
Jun-2021,9326.0,373.9,8501.2,2.8,5739.3,2759.5,485.9,2273.6
Sep-2021,9759.2,243.5,9023.1,3.6,5672.4,3383.4,624.8,2758.7
Dec-2021,9631.5,91.8,8571.1,4.0,5687.5,2884.6,504.4,2380.2
Mar-2022,9874.4,747.7,8771.0,2.9,5572.1,3200.1,590.6,2609.4
Jun-2022,9036.5,858.6,8003.2,4.8,5461.6,2539.9,430.4,2109.5
