,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,543.0,478.3,54.9,15.9,1.6,47.2,9.9,37.2
Mar-2020,355.8,356.2,-9.9,12.7,1.1,-2.8,-3.3,0.6
Jun-2020,674.5,534.4,128.3,17.9,2.0,120.2,28.3,91.9
Sep-2020,738.1,608.2,116.8,20.3,1.4,109.8,26.8,83.0
Dec-2020,578.1,510.4,60.1,11.0,0.8,62.0,16.4,45.6
Mar-2021,479.3,453.4,17.8,14.8,1.1,11.7,3.4,8.2
Jun-2021,747.5,618.9,121.6,18.5,0.9,109.2,26.8,82.4
Sep-2021,735.3,639.8,88.0,17.7,1.2,76.5,20.1,56.4
Dec-2021,633.6,560.7,67.4,18.4,1.4,53.1,13.5,39.5
Mar-2022,515.0,510.4,-2.8,19.7,1.2,-16.2,-2.1,-14.1
Jun-2022,866.8,750.1,112.7,24.7,1.7,91.0,23.5,67.5
