,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,724.5,634.8,72.5,14.5,2.5,72.7,21.5,51.2
Mar-2020,656.6,548.3,61.9,14.7,1.8,91.8,16.5,75.3
Jun-2020,316.5,301.9,-0.6,14.5,0.5,-0.3,-0.1,-0.2
Sep-2020,711.0,611.4,91.8,14.5,0.8,84.3,19.3,65.0
Dec-2020,827.2,638.3,180.4,15.2,0.0,173.7,45.5,128.1
Mar-2021,852.2,699.3,148.2,13.7,0.5,138.7,33.8,104.9
Jun-2021,699.9,579.8,113.8,14.0,0.3,105.8,26.7,79.1
Sep-2021,975.6,806.6,159.8,12.3,0.6,156.1,38.5,117.6
Dec-2021,983.2,843.8,123.2,15.6,0.5,123.3,34.5,88.9
Mar-2022,1041.2,879.6,159.4,15.2,0.7,145.7,36.2,109.5
Jun-2022,1063.7,871.0,183.7,16.1,0.5,176.1,46.9,129.2
