,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,393.0,318.9,65.7,8.6,4.3,61.2,14.2,47.0
Mar-2020,404.2,334.1,58.3,8.9,2.2,58.9,14.4,44.5
Jun-2020,308.4,251.8,48.9,9.2,1.6,45.8,10.6,35.2
Sep-2020,352.3,282.5,65.8,9.4,1.7,58.7,15.1,43.6
Dec-2020,398.0,331.9,57.5,9.7,1.8,54.5,14.1,40.4
Mar-2021,551.4,446.1,99.9,9.8,1.4,94.2,24.4,69.8
Jun-2021,543.0,437.2,95.8,10.3,1.1,94.3,24.2,70.2
Sep-2021,439.9,383.2,51.8,11.9,1.7,43.0,11.0,32.0
Dec-2021,650.7,559.9,83.9,12.3,2.7,75.7,18.8,57.0
Mar-2022,930.9,772.8,143.6,14.9,3.3,139.9,37.5,102.3
Jun-2022,1005.5,881.6,106.2,13.8,2.6,107.5,27.6,79.9
