,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,525.9,478.5,46.1,9.7,1.3,11.1,10.0,1.0
Mar-2020,448.7,401.9,41.7,12.9,1.3,31.3,8.5,22.8
Jun-2020,648.3,528.3,117.7,10.8,1.3,107.9,29.4,78.6
Sep-2020,908.8,683.1,219.6,11.2,1.7,212.8,54.7,158.1
Dec-2020,565.7,482.1,78.1,11.0,1.5,71.1,16.7,54.4
Mar-2021,538.8,462.9,70.9,13.5,1.1,61.3,7.1,54.2
Jun-2021,786.9,631.3,150.2,11.0,1.8,142.7,36.6,106.1
Sep-2021,918.3,694.9,215.0,10.9,2.0,210.5,55.4,155.1
Dec-2021,721.8,580.3,126.8,11.4,1.6,128.5,30.7,97.8
Mar-2022,672.5,556.2,108.8,11.4,0.7,104.1,29.4,74.7
Jun-2022,990.2,797.7,187.8,11.2,1.3,179.9,41.5,138.4
