,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,34246.0,23595.0,9445.0,677.0,200.0,9774.0,2091.0,7683.0
Mar-2020,35255.0,23969.0,9253.0,724.0,211.0,10351.0,2124.0,8227.0
Jun-2020,32330.0,23030.0,8594.0,739.0,118.0,8443.0,2347.0,6096.0
Sep-2020,35099.0,23279.0,10086.0,755.0,149.0,9698.0,2250.0,7448.0
Dec-2020,37053.0,24279.0,10678.0,771.0,159.0,11844.0,2602.0,9242.0
Mar-2021,36881.0,25065.0,10952.0,788.0,111.0,10917.0,2743.0,8174.0
Jun-2021,38478.0,26529.0,11193.0,809.0,120.0,11020.0,2739.0,8281.0
Sep-2021,41839.0,27680.0,11635.0,844.0,117.0,13198.0,3046.0,10152.0
Dec-2021,43070.0,29140.0,11705.0,925.0,126.0,12879.0,2920.0,9959.0
Mar-2022,44440.0,30747.0,11712.0,944.0,123.0,12626.0,2831.0,9795.0
Jun-2022,45195.0,32651.0,11829.0,960.0,184.0,11400.0,2812.0,8588.0
