,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,444.0,329.2,94.2,11.2,1.4,102.1,26.6,75.4
Mar-2020,452.3,330.3,108.6,10.8,1.4,109.8,27.7,82.1
Jun-2020,413.9,307.8,92.7,10.8,1.4,93.9,25.1,68.9
Sep-2020,434.6,312.1,118.1,11.2,1.3,110.0,31.1,78.9
Dec-2020,492.2,333.5,143.6,11.1,1.3,146.3,41.1,105.2
Mar-2021,525.2,350.4,168.0,11.3,1.9,161.7,46.5,115.2
Jun-2021,575.8,408.3,150.0,11.9,1.6,153.9,40.6,113.4
Sep-2021,597.8,411.7,183.6,13.5,1.6,171.0,45.7,125.3
Dec-2021,641.9,424.6,210.8,14.0,3.0,200.3,49.4,151.0
Mar-2022,699.8,460.5,221.2,15.9,3.2,220.3,60.3,160.0
Jun-2022,736.2,487.7,238.2,17.1,3.4,228.0,43.3,184.7
