,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1255.4,1223.2,21.6,4.0,2.1,26.1,-1.0,27.1
Mar-2020,1239.1,1206.2,15.6,4.0,2.8,26.0,54.7,-28.7
Jun-2020,1042.1,1017.5,16.8,4.1,2.0,18.4,0.7,17.7
Sep-2020,1042.0,1013.1,15.5,4.1,1.6,23.2,2.4,20.8
Dec-2020,1180.8,1152.0,15.4,3.6,1.0,24.1,2.2,21.9
Mar-2021,1249.2,1219.2,16.4,3.3,1.1,25.6,2.0,23.7
Jun-2021,1249.4,1221.0,19.8,3.3,0.7,22.6,0.6,22.0
Sep-2021,1341.5,1311.9,21.3,5.5,1.3,-52.1,0.8,-52.9
Dec-2021,1532.2,1501.7,23.1,4.5,1.0,25.0,0.1,24.9
Mar-2022,1549.8,1520.3,21.3,4.9,0.6,28.8,0.4,28.5
Jun-2022,1630.4,1602.4,13.9,4.2,0.6,23.3,-0.0,23.3
