,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,874.2,779.8,69.8,16.1,1.7,76.6,18.5,58.0
Mar-2020,777.0,692.1,47.3,16.6,2.0,51.3,10.2,41.1
Jun-2020,452.4,439.0,-10.5,15.2,1.8,-3.6,-1.7,-1.9
Sep-2020,741.0,666.8,47.9,15.5,1.9,44.3,10.7,33.6
Dec-2020,931.5,807.2,96.0,16.7,2.2,14.9,18.3,-3.4
Mar-2021,1147.0,1000.4,84.6,16.6,2.7,127.3,14.5,112.7
Jun-2021,732.4,675.5,34.1,16.2,2.1,38.5,8.0,30.5
Sep-2021,1038.3,939.5,67.8,16.1,2.4,80.3,20.4,59.9
Dec-2021,1049.7,964.3,52.9,17.0,2.7,51.7,12.5,39.2
Mar-2022,1319.5,1210.0,71.2,17.9,6.1,85.5,14.4,71.2
Jun-2022,962.7,909.8,37.2,17.9,3.6,31.6,7.1,24.5
