,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,2600.1,2158.5,424.0,52.4,45.5,343.7,84.9,258.8
Mar-2020,1997.9,1722.4,271.4,67.8,48.0,161.0,137.1,23.9
Jun-2020,1039.7,1107.8,-77.6,63.8,49.9,-256.8,-41.5,-215.3
Sep-2020,2158.7,1876.2,269.7,57.1,50.7,174.7,46.3,128.4
Dec-2020,2508.1,2104.9,383.8,61.4,37.7,304.1,74.2,229.9
Mar-2021,2230.5,1812.6,411.8,67.0,27.5,247.0,79.7,167.3
Jun-2021,1625.7,1447.4,167.7,55.4,19.8,66.7,-2.4,69.1
Sep-2021,8151.5,7722.4,425.6,65.5,-1.4,365.5,92.1,273.4
Dec-2021,2886.3,2394.0,490.7,66.2,33.8,392.3,101.2,291.1
Mar-2022,2460.9,2008.4,426.7,67.1,12.7,199.5,63.3,136.2
Jun-2022,2194.4,1895.1,274.2,65.3,16.6,179.0,-31.3,210.3
