,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1472.0,1281.9,171.1,31.7,28.0,130.5,50.9,69.0
Mar-2020,1480.6,1301.1,129.8,30.2,26.9,122.4,66.5,53.8
Jun-2020,1674.3,936.0,103.0,23.8,23.1,691.4,132.3,553.1
Sep-2020,1124.7,882.7,172.0,22.8,10.5,208.7,70.6,135.1
Dec-2020,1375.3,1142.6,167.6,24.7,7.3,200.7,64.5,140.1
Mar-2021,1332.1,1111.3,126.8,26.1,8.6,186.1,10.2,173.8
Jun-2021,753.3,641.1,78.2,25.7,13.6,73.0,18.4,54.5
Sep-2021,981.6,873.0,55.5,25.2,15.8,67.7,17.6,50.1
Dec-2021,1270.6,1105.8,106.5,25.9,20.2,118.7,30.2,88.5
Mar-2022,2166.2,1749.8,81.8,29.3,21.5,365.7,50.5,315.2
Jun-2022,1463.2,1314.4,70.5,26.5,25.9,96.3,15.8,80.5
