,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,4116.3,3519.7,540.5,159.9,29.2,407.4,138.1,269.2
Mar-2020,3556.4,2915.9,585.9,157.1,10.6,472.8,152.9,319.9
Jun-2020,2651.1,2076.4,524.4,161.8,13.1,399.8,131.8,268.0
Sep-2020,3582.2,2866.6,670.7,159.9,16.0,539.7,176.6,363.1
Dec-2020,4198.9,3573.5,571.2,156.5,17.4,275.4,-188.5,463.9
Mar-2021,4335.0,3432.5,859.4,142.4,11.2,748.9,191.5,557.4
Jun-2021,3929.5,3010.1,874.7,145.6,13.4,722.3,188.5,533.8
Sep-2021,3812.9,3037.6,711.3,149.7,17.1,608.5,159.4,449.0
Dec-2021,4278.7,3670.7,555.0,159.6,12.9,380.7,100.7,280.0
Mar-2022,4484.1,3792.8,633.7,153.1,10.6,527.6,135.8,391.8
Jun-2022,4521.3,4043.1,425.3,163.8,14.9,299.5,77.4,222.2
