,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,387.7,194.2,-1.8,0.1,202.7,-9.3,0.0,-9.3
Mar-2020,911.2,680.2,-15.0,0.1,208.6,22.2,0.0,22.2
Jun-2020,169.4,3.0,-3.0,0.1,162.6,3.7,0.0,3.7
Sep-2020,172.5,3.2,-3.1,0.1,173.2,-4.0,0.0,-4.0
Dec-2020,479.4,306.6,-1.9,0.1,176.7,-4.0,0.0,-4.0
Mar-2021,613.4,452.5,-2.1,0.1,177.7,-16.9,0.0,-16.9
Jun-2021,206.2,43.5,-1.2,0.1,181.8,-19.1,0.0,-19.1
Sep-2021,232.6,63.8,2.9,0.1,190.2,-21.5,0.0,-21.5
Dec-2021,459.8,299.3,-1.0,0.1,190.3,-29.9,0.0,-29.9
Mar-2022,542.0,335.4,-3.0,0.1,200.7,5.9,0.0,5.9
Jun-2022,260.3,84.6,-1.3,0.0,192.7,-17.0,0.0,-17.0
