,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,3201.5,2588.5,547.4,148.7,23.7,440.7,-14.2,454.9
Mar-2020,2915.7,2224.3,603.2,137.9,23.1,530.4,131.3,399.1
Jun-2020,2368.9,1581.5,595.2,128.9,18.3,640.2,186.8,453.4
Sep-2020,2904.7,2172.1,680.3,128.7,18.4,585.5,145.0,440.5
Dec-2020,3554.6,2747.3,767.8,125.7,23.3,658.3,161.2,497.1
Mar-2021,3676.6,2644.6,976.8,125.4,20.4,886.1,221.5,664.6
Jun-2021,3532.2,2411.5,959.7,130.3,23.9,966.5,243.4,723.1
Sep-2021,3273.5,2534.1,703.2,125.7,21.5,592.2,151.0,441.2
Dec-2021,3768.3,3167.2,567.9,169.8,25.2,340.4,88.8,251.7
Mar-2022,3961.9,3134.8,790.4,151.5,21.4,654.3,159.1,495.2
Jun-2022,4625.9,3308.9,684.5,153.9,25.1,1138.0,90.0,1047.9
