,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,522.3,420.1,99.9,22.8,3.0,76.4,18.7,57.7
Mar-2020,505.7,408.9,96.8,24.2,17.0,53.1,13.8,39.3
Jun-2020,319.5,269.5,47.0,23.6,4.4,22.0,5.5,16.5
Sep-2020,570.9,451.7,115.3,23.9,-2.3,90.6,24.5,66.1
Dec-2020,697.6,534.6,158.5,24.2,-0.3,139.1,35.1,104.0
Mar-2021,913.8,696.0,213.7,24.5,0.6,187.4,47.1,140.3
Jun-2021,520.7,413.8,103.4,25.3,3.8,77.8,20.1,57.7
Sep-2021,915.8,734.6,175.4,25.9,0.5,154.8,38.9,115.9
Dec-2021,861.4,687.3,169.7,26.5,0.5,147.1,36.6,110.5
Mar-2022,1123.1,922.8,186.6,27.3,4.1,166.9,46.2,120.7
Jun-2022,906.0,767.4,132.4,29.7,11.7,97.2,24.2,73.0
