,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,673.5,625.8,31.9,4.9,0.2,42.6,11.2,31.4
Mar-2020,778.1,676.3,88.5,5.3,0.6,95.9,26.7,69.3
Jun-2020,795.4,677.6,100.1,5.2,0.1,112.5,26.5,85.9
Sep-2020,914.8,786.4,110.6,5.2,0.2,123.1,31.1,91.9
Dec-2020,696.6,613.5,63.5,5.2,0.1,77.7,19.0,58.7
Mar-2021,900.1,803.3,87.3,5.7,0.1,90.9,22.2,68.8
Jun-2021,1256.8,1157.9,82.8,5.5,0.3,93.2,22.9,70.2
Sep-2021,981.9,956.2,4.6,5.5,0.6,19.7,4.1,15.6
Dec-2021,818.9,763.8,43.8,5.3,0.1,49.7,11.6,38.1
Mar-2022,1050.4,943.6,94.9,4.9,0.1,101.7,26.4,75.3
Jun-2022,1311.4,1228.8,77.9,4.9,0.3,77.4,19.6,57.7
