,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,88.2,26.4,51.3,7.8,2.6,51.4,20.1,31.3
Mar-2020,1310.1,33.4,1266.2,8.1,4.8,1263.9,157.7,1106.2
Jun-2020,99.5,19.4,65.0,7.9,0.9,71.3,28.1,43.1
Sep-2020,125.3,18.4,91.7,7.9,1.0,98.1,27.2,70.9
Dec-2020,105.3,21.5,70.5,7.9,0.9,75.0,24.1,50.8
Mar-2021,100.9,26.5,54.5,8.0,0.9,65.6,31.8,33.8
Jun-2021,103.7,25.2,65.7,7.9,0.8,69.9,21.0,48.9
Sep-2021,1535.5,21.8,1500.5,7.9,0.8,1505.1,18.7,1486.4
Dec-2021,99.2,25.3,59.4,7.9,0.8,65.2,16.0,49.1
Mar-2022,94.7,24.9,53.8,8.0,0.8,61.0,14.9,46.1
Jun-2022,96.8,32.1,51.9,8.0,0.7,56.0,12.8,43.2
