,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,224.1,178.2,43.5,5.7,2.9,37.2,10.5,26.7
Mar-2020,238.3,182.0,53.5,7.7,2.8,45.8,13.4,32.4
Jun-2020,213.0,159.5,51.1,5.6,1.3,46.6,11.9,34.7
Sep-2020,283.3,211.1,69.8,6.6,1.5,64.1,16.4,47.7
Dec-2020,366.8,268.1,96.7,5.6,1.6,91.5,21.4,70.2
Mar-2021,376.7,262.6,109.1,5.5,0.9,107.8,28.6,79.2
Jun-2021,394.3,277.3,114.3,6.8,0.6,109.5,27.7,81.8
Sep-2021,439.3,337.3,97.9,7.6,1.5,93.0,23.4,69.6
Dec-2021,474.7,365.4,106.9,7.5,2.2,99.7,24.8,74.9
Mar-2022,621.9,490.9,128.1,7.3,2.8,121.0,39.3,81.7
Jun-2022,517.5,384.9,129.9,7.4,1.0,124.1,31.5,92.7
