,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,873.4,693.7,160.3,14.9,3.6,164.1,26.2,137.9
Mar-2020,476.5,400.5,58.2,19.1,2.6,25.7,-5.8,31.5
Jun-2020,1242.7,902.5,325.3,23.7,2.7,312.6,60.9,251.7
Sep-2020,1396.3,1083.9,297.7,13.9,2.5,296.0,71.4,224.6
Dec-2020,936.5,812.2,106.0,14.3,3.9,106.1,151.2,-45.1
Mar-2021,749.6,651.0,82.7,21.6,3.5,79.8,17.9,61.9
Jun-2021,1430.7,1093.6,322.3,14.6,2.5,320.0,66.3,253.7
Sep-2021,1379.4,1143.3,221.8,14.3,2.3,219.5,65.4,154.1
Dec-2021,999.9,923.8,66.3,14.2,2.6,117.8,33.0,84.8
Mar-2022,979.0,762.6,200.7,21.4,5.5,189.5,36.8,152.7
Jun-2022,1681.6,1272.3,395.1,22.9,4.1,382.3,79.7,302.6
