,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,2304.2,1916.3,354.7,86.1,0.1,301.7,86.6,215.1
Mar-2020,5834.1,4323.3,1482.6,95.0,1.6,1414.2,379.7,1034.5
Jun-2020,1689.0,1523.9,146.7,88.8,0.1,76.2,22.1,54.1
Sep-2020,3216.1,2565.2,623.5,91.4,0.3,559.2,162.2,397.1
Dec-2020,2319.4,1855.9,440.4,94.5,0.2,368.8,107.0,261.9
Mar-2021,6965.5,4937.8,1970.6,91.7,5.5,1930.5,578.1,1352.4
Jun-2021,1679.2,1571.7,62.9,92.2,0.1,15.2,4.0,11.2
Sep-2021,3726.4,2804.1,856.5,94.1,0.5,827.7,215.1,612.6
Dec-2021,3753.0,2871.6,822.1,92.9,0.2,788.3,205.0,583.4
Mar-2022,6388.7,4757.1,1567.8,101.0,4.0,1526.6,384.8,1141.8
Jun-2022,3272.5,2599.3,513.5,94.1,1.0,578.1,146.6,431.5
