,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,5830.5,5350.6,328.7,114.5,139.1,226.3,67.5,158.8
Mar-2020,5197.5,5611.1,-561.7,154.3,141.2,-709.0,825.2,-1534.1
Jun-2020,2086.4,3049.8,-1058.9,118.5,114.5,-1196.4,-299.3,-897.1
Sep-2020,3799.9,4327.6,-632.5,115.2,94.5,-737.4,-181.3,-556.1
Dec-2020,4536.7,4631.0,-179.6,112.8,85.8,-292.9,-61.9,-231.0
Mar-2021,7255.2,8435.3,-1264.3,126.6,78.2,-1384.9,-352.0,-1032.9
Jun-2021,2976.3,3375.3,-474.0,111.2,83.6,-593.9,-148.4,-445.4
Sep-2021,5186.1,5141.4,-29.2,42.8,89.6,-87.6,-20.1,-67.5
Dec-2021,5227.0,5046.7,89.2,74.1,86.0,20.2,6.0,14.3
Mar-2022,8189.5,6909.8,1151.9,86.0,95.6,1098.2,189.3,908.9
Jun-2022,4751.8,4841.9,-169.9,66.7,97.9,-254.7,-62.9,-191.8
