,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,124.0,106.2,6.0,0.2,0.3,17.3,-0.2,17.5
Mar-2020,127.4,120.6,3.6,0.2,1.6,5.0,-0.2,5.2
Jun-2020,116.1,113.6,2.5,0.1,1.6,0.8,0.3,0.5
Sep-2020,83.9,81.7,0.8,0.1,1.7,0.5,0.3,0.2
Dec-2020,84.1,81.8,1.8,0.1,1.6,0.6,0.6,0.0
Mar-2021,102.8,97.4,-13.5,0.1,-4.9,10.3,2.7,7.5
Jun-2021,88.0,85.5,3.5,0.0,0.0,2.5,1.4,1.1
Sep-2021,90.0,89.5,0.4,0.0,0.1,0.4,0.2,0.2
Dec-2021,93.9,93.3,0.6,0.0,0.1,0.4,0.2,0.3
Mar-2022,92.6,92.0,2.0,0.0,0.1,0.5,0.4,0.1
Jun-2022,92.3,91.3,4.2,0.0,0.1,0.8,0.3,0.6
