,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,439.3,135.8,19.4,0.0,233.4,42.4,14.3,28.1
Mar-2020,475.5,137.1,20.4,0.0,231.4,22.7,82.3,-59.7
Jun-2020,496.9,130.4,54.8,0.0,237.3,71.6,18.0,53.6
Sep-2020,567.5,154.0,75.2,0.0,240.7,92.1,23.2,68.9
Dec-2020,599.2,185.4,65.7,0.0,231.4,70.9,17.8,53.0
Mar-2021,609.5,259.1,16.6,0.0,221.4,58.0,15.1,42.9
Jun-2021,571.5,164.2,103.5,0.0,227.5,81.5,20.5,61.0
Sep-2021,555.6,188.8,89.6,0.0,217.5,158.4,39.9,118.6
Dec-2021,579.8,207.9,95.4,0.0,224.3,198.1,49.9,148.2
Mar-2022,583.2,225.4,78.5,0.0,215.7,176.2,45.5,130.7
Jun-2022,590.8,210.8,99.9,0.0,225.2,153.0,38.5,114.5
