,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,14001.6,2807.4,627.6,0.0,8859.9,531.4,201.8,329.6
Mar-2020,14222.4,3452.6,-134.1,0.0,8728.9,-3334.5,-75.2,-3259.3
Jun-2020,20685.9,4460.2,1635.3,0.0,11940.3,459.1,52.9,406.2
Sep-2020,20836.7,4811.4,1485.2,0.0,11385.6,623.0,178.5,444.4
Dec-2020,21479.9,4972.9,1108.0,0.0,11125.5,1056.8,360.7,696.1
Mar-2021,21522.6,5093.7,495.5,0.0,10726.3,1568.4,557.5,1010.9
Jun-2021,21210.1,4834.4,1312.2,0.0,10625.0,2022.1,844.7,1177.5
Sep-2021,21331.5,4938.0,1335.8,0.0,10789.9,2243.4,910.8,1332.6
Dec-2021,21312.3,4754.1,2190.8,0.0,10755.6,2202.8,700.7,1502.1
Mar-2022,22323.1,5265.4,1740.4,0.0,10855.7,2493.3,827.0,1666.2
Jun-2022,23352.0,5353.8,1430.9,0.0,11391.9,2916.2,894.1,2022.0
