,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,586.8,371.4,213.5,19.9,4.4,191.1,49.2,141.9
Mar-2020,526.0,341.1,184.2,20.7,4.5,159.7,43.5,116.3
Jun-2020,355.3,252.8,97.6,14.3,2.9,85.3,21.7,63.6
Sep-2020,447.7,308.4,136.9,14.4,0.6,124.4,32.3,92.1
Dec-2020,490.9,341.6,146.1,17.1,0.4,131.8,33.8,97.9
Mar-2021,528.5,370.0,155.7,21.1,0.2,137.2,36.0,101.1
Jun-2021,570.7,385.1,142.2,17.5,0.3,167.8,32.9,134.9
Sep-2021,551.1,402.9,141.5,17.8,0.4,130.0,33.4,96.5
Dec-2021,699.4,530.6,158.6,18.5,0.4,149.9,37.9,112.0
Mar-2022,758.8,545.3,204.9,18.7,0.5,194.3,51.6,142.7
Jun-2022,739.5,590.8,139.2,17.9,0.3,130.5,33.4,97.1
