,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1430.8,893.6,496.9,46.7,1.6,488.9,128.2,360.7
Mar-2020,1452.8,927.6,448.6,49.5,0.4,475.2,83.4,391.8
Jun-2020,1727.8,1011.0,699.0,56.0,0.2,660.7,168.4,492.2
Sep-2020,1727.4,981.4,732.4,60.9,0.1,685.0,171.7,513.3
Dec-2020,1676.2,978.0,678.5,68.0,0.2,630.0,168.7,461.2
Mar-2021,1741.2,1019.0,699.4,69.8,0.2,652.2,164.2,487.9
Jun-2021,1985.7,1098.7,851.5,73.0,0.2,813.8,261.8,552.0
Sep-2021,1987.0,1149.3,818.6,77.1,0.2,760.4,154.1,606.4
Dec-2021,2483.4,1366.9,1099.9,79.7,0.2,1036.6,129.4,907.2
Mar-2022,2545.5,1399.1,1096.0,80.8,0.0,1065.7,182.7,883.0
Jun-2022,2293.9,1366.3,837.6,83.4,0.1,844.0,152.4,691.6
