,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,3113.3,2288.3,755.7,195.8,11.7,617.5,95.8,521.7
Mar-2020,2979.1,2330.9,520.8,192.3,11.8,444.1,-58.7,502.8
Jun-2020,3889.1,2315.7,928.7,197.7,14.0,1361.7,411.5,950.2
Sep-2020,3372.4,2529.2,816.6,214.2,9.3,619.7,138.7,481.0
Dec-2020,3471.0,2634.2,774.0,212.4,6.5,617.9,174.2,443.7
Mar-2021,3432.3,2747.8,602.9,210.7,16.9,456.9,145.4,311.5
Jun-2021,3619.7,2871.6,561.9,197.1,6.5,544.5,131.1,413.4
Sep-2021,3941.5,3075.1,748.3,206.6,11.1,648.7,199.7,449.0
Dec-2021,3542.6,2865.6,614.0,205.4,7.7,463.9,122.8,341.1
Mar-2022,3783.4,2989.0,669.9,205.2,12.7,566.7,147.0,419.7
Jun-2022,4034.0,3051.1,579.5,221.5,9.8,751.6,252.1,499.5
