,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,6.1,22.1,-18.7,0.7,8.4,-24.9,-11.8,-13.1
Mar-2020,49.5,55.1,-15.1,0.7,6.0,-13.1,-11.4,-1.7
Jun-2020,68.1,145.3,-123.4,0.4,3.6,-127.4,1.8,-129.2
Sep-2020,44.8,19.8,21.8,0.4,12.9,12.7,4.6,8.1
Dec-2020,69.0,29.0,38.9,0.4,39.3,-0.8,-0.6,-0.2
Mar-2021,1706.6,706.8,-689.5,0.2,41.5,809.4,-28.1,837.5
Jun-2021,183.5,76.7,29.2,0.1,35.0,71.6,0.0,71.6
Sep-2021,169.3,35.5,42.9,0.1,40.0,96.9,-92.0,188.9
Dec-2021,438.6,28.9,90.0,0.1,68.7,344.8,11.5,333.3
Mar-2022,428.6,15.0,412.1,0.1,70.6,341.4,1.8,339.6
Jun-2022,127.2,45.2,84.2,0.1,78.2,6.0,4.8,1.2
